"event_id","time_interval","district","location1","location2","location3","link"
"activist_12",2019-07-02 00:00:00 HKT--2019-07-02 01:59:59 HKT,"中西區","中信大廈","立法會綜合大樓",NA,"https://t.me/cusunews/893,https://t.me/cusunews/918,https://t.me/hk926/312,https://t.me/hk926/313,https://t.me/hk926/318,https://t.me/antiextraditionverifiednews/764,https://t.me/antiextraditionverifiednews/766,https://t.me/reminder612/5037,https://t.me/eduhknews/267"
"activist_13",2019-07-02 00:00:00 HKT--2019-07-02 01:59:59 HKT,"中西區","政府總部","海富中心","添華道、夏慤道","https://t.me/cusunews/893,https://t.me/cusunews/918,https://t.me/hk926/312,https://t.me/hk926/313,https://t.me/hk926/318,https://t.me/antiextraditionverifiednews/764,https://t.me/antiextraditionverifiednews/766,https://t.me/reminder612/5037,https://t.me/eduhknews/267"
"activist_14",2019-07-02 00:00:00 HKT--2019-07-02 01:59:59 HKT,"灣仔區","龍和道",NA,NA,"https://t.me/cusunews/893,https://t.me/reminder612/5037"
"activist_15",2019-07-21 20:00:00 HKT--2019-07-21 21:59:59 HKT,"中西區","中區警署",NA,NA,"https://t.me/localpresshk/1353,https://t.me/studentlocalism/1483,https://t.me/realtimenewsbroadcasts/1213,https://t.me/judgehk/141,https://t.me/poly9999999/2708"
"activist_16",2019-07-21 22:00:00 HKT--2019-07-21 23:59:59 HKT,"中西區","信德中心","永安","上環干諾道中","https://t.me/localpresshk/1366,https://t.me/hk926/536,https://t.me/hk926/541,https://t.me/antiextraditionverifiednews/895,https://t.me/antiextraditionverifiednews/899,https://t.me/realtimenewsbroadcasts/1268,https://t.me/realtimenewsbroadcasts/1279,https://t.me/realtimenewsbroadcasts/1281,https://t.me/realtimenewsbroadcasts/1312,https://t.me/realtimenewsbroadcasts/1324,https://t.me/realtimenewsbroadcasts/1340,https://t.me/eduhknews/453,https://t.me/eduhknews/482,https://t.me/eduhknews/492,https://t.me/judgehk/167,https://t.me/HongKong_Scout_Info/36,https://t.me/HongKong_Scout_Info/38"
"activist_17",2019-07-21 22:00:00 HKT--2019-07-21 23:59:59 HKT,"中西區","中信大廈",NA,NA,"https://t.me/localpresshk/1366,https://t.me/hk926/536,https://t.me/hk926/541,https://t.me/antiextraditionverifiednews/895,https://t.me/antiextraditionverifiednews/899,https://t.me/realtimenewsbroadcasts/1268,https://t.me/realtimenewsbroadcasts/1279,https://t.me/realtimenewsbroadcasts/1281,https://t.me/realtimenewsbroadcasts/1312,https://t.me/realtimenewsbroadcasts/1324,https://t.me/realtimenewsbroadcasts/1340,https://t.me/eduhknews/453,https://t.me/eduhknews/482,https://t.me/eduhknews/492,https://t.me/judgehk/167,https://t.me/HongKong_Scout_Info/36,https://t.me/HongKong_Scout_Info/38"
"activist_18",2019-07-21 22:00:00 HKT--2019-07-21 23:59:59 HKT,"中西區","港澳碼頭",NA,NA,"https://t.me/localpresshk/1366,https://t.me/hk926/536,https://t.me/hk926/541,https://t.me/antiextraditionverifiednews/895,https://t.me/antiextraditionverifiednews/899,https://t.me/realtimenewsbroadcasts/1268,https://t.me/realtimenewsbroadcasts/1279,https://t.me/realtimenewsbroadcasts/1281,https://t.me/realtimenewsbroadcasts/1312,https://t.me/realtimenewsbroadcasts/1324,https://t.me/realtimenewsbroadcasts/1340,https://t.me/eduhknews/453,https://t.me/eduhknews/482,https://t.me/eduhknews/492,https://t.me/judgehk/167,https://t.me/HongKong_Scout_Info/36,https://t.me/HongKong_Scout_Info/38"
"activist_19",2019-07-21 22:00:00 HKT--2019-07-21 23:59:59 HKT,"中西區","干諾道西、德輔道西",NA,NA,"https://t.me/localpresshk/1366,https://t.me/hk926/536,https://t.me/hk926/541,https://t.me/antiextraditionverifiednews/895,https://t.me/antiextraditionverifiednews/899,https://t.me/realtimenewsbroadcasts/1268,https://t.me/realtimenewsbroadcasts/1279,https://t.me/realtimenewsbroadcasts/1281,https://t.me/realtimenewsbroadcasts/1312,https://t.me/realtimenewsbroadcasts/1324,https://t.me/realtimenewsbroadcasts/1340,https://t.me/eduhknews/453,https://t.me/eduhknews/482,https://t.me/eduhknews/492,https://t.me/judgehk/167,https://t.me/HongKong_Scout_Info/36,https://t.me/HongKong_Scout_Info/38"
"activist_20",2019-07-21 22:00:00 HKT--2019-07-21 23:59:59 HKT,"中西區","干諾道西、西邊街","德輔道西、西邊街",NA,"https://t.me/localpresshk/1366,https://t.me/hk926/536,https://t.me/hk926/541,https://t.me/antiextraditionverifiednews/895,https://t.me/antiextraditionverifiednews/899,https://t.me/realtimenewsbroadcasts/1268,https://t.me/realtimenewsbroadcasts/1279,https://t.me/realtimenewsbroadcasts/1281,https://t.me/realtimenewsbroadcasts/1312,https://t.me/realtimenewsbroadcasts/1324,https://t.me/realtimenewsbroadcasts/1340,https://t.me/eduhknews/453,https://t.me/eduhknews/482,https://t.me/eduhknews/492,https://t.me/judgehk/167,https://t.me/HongKong_Scout_Info/36,https://t.me/HongKong_Scout_Info/38"
"activist_21",2019-07-27 16:00:00 HKT--2019-07-27 17:59:59 HKT,"元朗區","元朗廣場","元朗警署",NA,"https://t.me/antielabfactchecking/368,https://t.me/bignewsmaterial/2168,https://t.me/DemosistoOfficial/1178,https://t.me/hk926/642,https://t.me/hk926/644,https://t.me/hk926/647,https://t.me/hk926/651,https://t.me/windseasonhk/5154,https://t.me/windseasonhk/5181,https://t.me/hongkongstandstrong_live/535,https://t.me/antiextraditionverifiednews/942,https://t.me/antiextraditionverifiednews/947,https://t.me/reminder612/8042,https://t.me/realtimenewsbroadcasts/1845,https://t.me/realtimenewsbroadcasts/1855,https://t.me/realtimenewsbroadcasts/1860,https://t.me/realtimenewsbroadcasts/1866,https://t.me/realtimenewsbroadcasts/1871,https://t.me/realtimenewsbroadcasts/1887,https://t.me/realtimenewsbroadcasts/1901,https://t.me/frontlinelive/655,https://t.me/frontlinelive/656,https://t.me/eduhknews/596,https://t.me/eduhknews/599,https://t.me/eduhknews/601,https://t.me/eduhknews/603,https://t.me/judgehk/522,https://t.me/CivilHumanRightsFront/457,https://t.me/CivilHumanRightsFront/463,https://t.me/poly9999999/3125,https://t.me/poly9999999/3175,https://t.me/HongKong_Scout_Info/90,https://t.me/cityuchannel/2280,https://t.me/cityuchannel/2285,https://t.me/cityuchannel/2297"
"activist_22",2019-07-27 16:00:00 HKT--2019-07-27 17:59:59 HKT,"元朗區","朗屏站",NA,NA,"https://t.me/antielabfactchecking/368,https://t.me/bignewsmaterial/2168,https://t.me/DemosistoOfficial/1178,https://t.me/hk926/642,https://t.me/hk926/644,https://t.me/hk926/647,https://t.me/hk926/651,https://t.me/windseasonhk/5154,https://t.me/windseasonhk/5181,https://t.me/hongkongstandstrong_live/535,https://t.me/antiextraditionverifiednews/942,https://t.me/antiextraditionverifiednews/947,https://t.me/reminder612/8042,https://t.me/realtimenewsbroadcasts/1845,https://t.me/realtimenewsbroadcasts/1855,https://t.me/realtimenewsbroadcasts/1860,https://t.me/realtimenewsbroadcasts/1866,https://t.me/realtimenewsbroadcasts/1871,https://t.me/realtimenewsbroadcasts/1887,https://t.me/realtimenewsbroadcasts/1901,https://t.me/frontlinelive/655,https://t.me/frontlinelive/656,https://t.me/eduhknews/596,https://t.me/eduhknews/599,https://t.me/eduhknews/601,https://t.me/eduhknews/603,https://t.me/judgehk/522,https://t.me/CivilHumanRightsFront/457,https://t.me/CivilHumanRightsFront/463,https://t.me/poly9999999/3125,https://t.me/poly9999999/3175,https://t.me/HongKong_Scout_Info/90,https://t.me/cityuchannel/2280,https://t.me/cityuchannel/2285,https://t.me/cityuchannel/2297"
"activist_23",2019-07-27 16:00:00 HKT--2019-07-27 17:59:59 HKT,"元朗區","長盛街、朗業街","元朗泰祥街、朗業街","元朗泰祥街、元朗安樂路","https://t.me/antielabfactchecking/368,https://t.me/bignewsmaterial/2168,https://t.me/DemosistoOfficial/1178,https://t.me/hk926/642,https://t.me/hk926/644,https://t.me/hk926/647,https://t.me/hk926/651,https://t.me/windseasonhk/5154,https://t.me/windseasonhk/5181,https://t.me/hongkongstandstrong_live/535,https://t.me/antiextraditionverifiednews/942,https://t.me/antiextraditionverifiednews/947,https://t.me/reminder612/8042,https://t.me/realtimenewsbroadcasts/1845,https://t.me/realtimenewsbroadcasts/1855,https://t.me/realtimenewsbroadcasts/1860,https://t.me/realtimenewsbroadcasts/1866,https://t.me/realtimenewsbroadcasts/1871,https://t.me/realtimenewsbroadcasts/1887,https://t.me/realtimenewsbroadcasts/1901,https://t.me/frontlinelive/655,https://t.me/frontlinelive/656,https://t.me/eduhknews/596,https://t.me/eduhknews/599,https://t.me/eduhknews/601,https://t.me/eduhknews/603,https://t.me/judgehk/522,https://t.me/CivilHumanRightsFront/457,https://t.me/CivilHumanRightsFront/463,https://t.me/poly9999999/3125,https://t.me/poly9999999/3175,https://t.me/HongKong_Scout_Info/90,https://t.me/cityuchannel/2280,https://t.me/cityuchannel/2285,https://t.me/cityuchannel/2297"
"activist_24",2019-07-27 16:00:00 HKT--2019-07-27 17:59:59 HKT,"元朗區","大棠路、馬棠路",NA,NA,"https://t.me/antielabfactchecking/368,https://t.me/bignewsmaterial/2168,https://t.me/DemosistoOfficial/1178,https://t.me/hk926/642,https://t.me/hk926/644,https://t.me/hk926/647,https://t.me/hk926/651,https://t.me/windseasonhk/5154,https://t.me/windseasonhk/5181,https://t.me/hongkongstandstrong_live/535,https://t.me/antiextraditionverifiednews/942,https://t.me/antiextraditionverifiednews/947,https://t.me/reminder612/8042,https://t.me/realtimenewsbroadcasts/1845,https://t.me/realtimenewsbroadcasts/1855,https://t.me/realtimenewsbroadcasts/1860,https://t.me/realtimenewsbroadcasts/1866,https://t.me/realtimenewsbroadcasts/1871,https://t.me/realtimenewsbroadcasts/1887,https://t.me/realtimenewsbroadcasts/1901,https://t.me/frontlinelive/655,https://t.me/frontlinelive/656,https://t.me/eduhknews/596,https://t.me/eduhknews/599,https://t.me/eduhknews/601,https://t.me/eduhknews/603,https://t.me/judgehk/522,https://t.me/CivilHumanRightsFront/457,https://t.me/CivilHumanRightsFront/463,https://t.me/poly9999999/3125,https://t.me/poly9999999/3175,https://t.me/HongKong_Scout_Info/90,https://t.me/cityuchannel/2280,https://t.me/cityuchannel/2285,https://t.me/cityuchannel/2297"
"activist_25",2019-07-27 18:00:00 HKT--2019-07-27 19:59:59 HKT,"元朗區","麗新元朗中心","朗業街、寶業街",NA,"https://t.me/antielabfactchecking/373,https://t.me/cusunews/2218,https://t.me/cusunews/2224,https://t.me/cusunews/2225,https://t.me/bignewsmaterial/2230,https://t.me/hk926/655,https://t.me/hk926/656,https://t.me/hk926/661,https://t.me/hk926/663,https://t.me/hk926/668,https://t.me/hk926/669,https://t.me/windseasonhk/5196,https://t.me/windseasonhk/5204,https://t.me/islandalliance/674,https://t.me/antiextraditionverifiednews/952,https://t.me/antiextraditionverifiednews/955,https://t.me/antiextraditionverifiednews/957,https://t.me/antiextraditionverifiednews/959,https://t.me/antiextraditionverifiednews/965,https://t.me/tswsave/542,https://t.me/realtimenewsbroadcasts/1924,https://t.me/realtimenewsbroadcasts/1928,https://t.me/realtimenewsbroadcasts/1933,https://t.me/realtimenewsbroadcasts/1935,https://t.me/realtimenewsbroadcasts/1937,https://t.me/realtimenewsbroadcasts/1945,https://t.me/realtimenewsbroadcasts/1946,https://t.me/realtimenewsbroadcasts/1949,https://t.me/realtimenewsbroadcasts/1953,https://t.me/realtimenewsbroadcasts/1977,https://t.me/realtimenewsbroadcasts/1985,https://t.me/realtimenewsbroadcasts/1992,https://t.me/realtimenewsbroadcasts/1993,https://t.me/realtimenewsbroadcasts/1994,https://t.me/realtimenewsbroadcasts/2011,https://t.me/frontlinelive/729,https://t.me/frontlinelive/746,https://t.me/frontlinelive/751,https://t.me/eduhknews/631,https://t.me/eduhknews/636,https://t.me/eduhknews/661,https://t.me/judgehk/544,https://t.me/CivilHumanRightsFront/476,https://t.me/CivilHumanRightsFront/483,https://t.me/poly9999999/3190,https://t.me/poly9999999/3192,https://t.me/poly9999999/3236,https://t.me/HongKong_Scout_Info/108,https://t.me/cityuchannel/2340,https://t.me/cityuchannel/2350,https://t.me/cityuchannel/2352,https://t.me/cityuchannel/2374"
"activist_26",2019-07-27 18:00:00 HKT--2019-07-27 19:59:59 HKT,"元朗區","朗屏站",NA,NA,"https://t.me/antielabfactchecking/373,https://t.me/cusunews/2218,https://t.me/cusunews/2224,https://t.me/cusunews/2225,https://t.me/bignewsmaterial/2230,https://t.me/hk926/655,https://t.me/hk926/656,https://t.me/hk926/661,https://t.me/hk926/663,https://t.me/hk926/668,https://t.me/hk926/669,https://t.me/windseasonhk/5196,https://t.me/windseasonhk/5204,https://t.me/islandalliance/674,https://t.me/antiextraditionverifiednews/952,https://t.me/antiextraditionverifiednews/955,https://t.me/antiextraditionverifiednews/957,https://t.me/antiextraditionverifiednews/959,https://t.me/antiextraditionverifiednews/965,https://t.me/tswsave/542,https://t.me/realtimenewsbroadcasts/1924,https://t.me/realtimenewsbroadcasts/1928,https://t.me/realtimenewsbroadcasts/1933,https://t.me/realtimenewsbroadcasts/1935,https://t.me/realtimenewsbroadcasts/1937,https://t.me/realtimenewsbroadcasts/1945,https://t.me/realtimenewsbroadcasts/1946,https://t.me/realtimenewsbroadcasts/1949,https://t.me/realtimenewsbroadcasts/1953,https://t.me/realtimenewsbroadcasts/1977,https://t.me/realtimenewsbroadcasts/1985,https://t.me/realtimenewsbroadcasts/1992,https://t.me/realtimenewsbroadcasts/1993,https://t.me/realtimenewsbroadcasts/1994,https://t.me/realtimenewsbroadcasts/2011,https://t.me/frontlinelive/729,https://t.me/frontlinelive/746,https://t.me/frontlinelive/751,https://t.me/eduhknews/631,https://t.me/eduhknews/636,https://t.me/eduhknews/661,https://t.me/judgehk/544,https://t.me/CivilHumanRightsFront/476,https://t.me/CivilHumanRightsFront/483,https://t.me/poly9999999/3190,https://t.me/poly9999999/3192,https://t.me/poly9999999/3236,https://t.me/HongKong_Scout_Info/108,https://t.me/cityuchannel/2340,https://t.me/cityuchannel/2350,https://t.me/cityuchannel/2352,https://t.me/cityuchannel/2374"
"activist_27",2019-07-27 18:00:00 HKT--2019-07-27 19:59:59 HKT,"元朗區","元朗站",NA,NA,"https://t.me/antielabfactchecking/373,https://t.me/cusunews/2218,https://t.me/cusunews/2224,https://t.me/cusunews/2225,https://t.me/bignewsmaterial/2230,https://t.me/hk926/655,https://t.me/hk926/656,https://t.me/hk926/661,https://t.me/hk926/663,https://t.me/hk926/668,https://t.me/hk926/669,https://t.me/windseasonhk/5196,https://t.me/windseasonhk/5204,https://t.me/islandalliance/674,https://t.me/antiextraditionverifiednews/952,https://t.me/antiextraditionverifiednews/955,https://t.me/antiextraditionverifiednews/957,https://t.me/antiextraditionverifiednews/959,https://t.me/antiextraditionverifiednews/965,https://t.me/tswsave/542,https://t.me/realtimenewsbroadcasts/1924,https://t.me/realtimenewsbroadcasts/1928,https://t.me/realtimenewsbroadcasts/1933,https://t.me/realtimenewsbroadcasts/1935,https://t.me/realtimenewsbroadcasts/1937,https://t.me/realtimenewsbroadcasts/1945,https://t.me/realtimenewsbroadcasts/1946,https://t.me/realtimenewsbroadcasts/1949,https://t.me/realtimenewsbroadcasts/1953,https://t.me/realtimenewsbroadcasts/1977,https://t.me/realtimenewsbroadcasts/1985,https://t.me/realtimenewsbroadcasts/1992,https://t.me/realtimenewsbroadcasts/1993,https://t.me/realtimenewsbroadcasts/1994,https://t.me/realtimenewsbroadcasts/2011,https://t.me/frontlinelive/729,https://t.me/frontlinelive/746,https://t.me/frontlinelive/751,https://t.me/eduhknews/631,https://t.me/eduhknews/636,https://t.me/eduhknews/661,https://t.me/judgehk/544,https://t.me/CivilHumanRightsFront/476,https://t.me/CivilHumanRightsFront/483,https://t.me/poly9999999/3190,https://t.me/poly9999999/3192,https://t.me/poly9999999/3236,https://t.me/HongKong_Scout_Info/108,https://t.me/cityuchannel/2340,https://t.me/cityuchannel/2350,https://t.me/cityuchannel/2352,https://t.me/cityuchannel/2374"
"activist_28",2019-07-27 18:00:00 HKT--2019-07-27 19:59:59 HKT,"元朗區","朗業街、長盛街",NA,NA,"https://t.me/antielabfactchecking/373,https://t.me/cusunews/2218,https://t.me/cusunews/2224,https://t.me/cusunews/2225,https://t.me/bignewsmaterial/2230,https://t.me/hk926/655,https://t.me/hk926/656,https://t.me/hk926/661,https://t.me/hk926/663,https://t.me/hk926/668,https://t.me/hk926/669,https://t.me/windseasonhk/5196,https://t.me/windseasonhk/5204,https://t.me/islandalliance/674,https://t.me/antiextraditionverifiednews/952,https://t.me/antiextraditionverifiednews/955,https://t.me/antiextraditionverifiednews/957,https://t.me/antiextraditionverifiednews/959,https://t.me/antiextraditionverifiednews/965,https://t.me/tswsave/542,https://t.me/realtimenewsbroadcasts/1924,https://t.me/realtimenewsbroadcasts/1928,https://t.me/realtimenewsbroadcasts/1933,https://t.me/realtimenewsbroadcasts/1935,https://t.me/realtimenewsbroadcasts/1937,https://t.me/realtimenewsbroadcasts/1945,https://t.me/realtimenewsbroadcasts/1946,https://t.me/realtimenewsbroadcasts/1949,https://t.me/realtimenewsbroadcasts/1953,https://t.me/realtimenewsbroadcasts/1977,https://t.me/realtimenewsbroadcasts/1985,https://t.me/realtimenewsbroadcasts/1992,https://t.me/realtimenewsbroadcasts/1993,https://t.me/realtimenewsbroadcasts/1994,https://t.me/realtimenewsbroadcasts/2011,https://t.me/frontlinelive/729,https://t.me/frontlinelive/746,https://t.me/frontlinelive/751,https://t.me/eduhknews/631,https://t.me/eduhknews/636,https://t.me/eduhknews/661,https://t.me/judgehk/544,https://t.me/CivilHumanRightsFront/476,https://t.me/CivilHumanRightsFront/483,https://t.me/poly9999999/3190,https://t.me/poly9999999/3192,https://t.me/poly9999999/3236,https://t.me/HongKong_Scout_Info/108,https://t.me/cityuchannel/2340,https://t.me/cityuchannel/2350,https://t.me/cityuchannel/2352,https://t.me/cityuchannel/2374"
"activist_29",2019-07-27 20:00:00 HKT--2019-07-27 21:59:59 HKT,"元朗區","元朗站","遵道幼稚園","元朗朗日路","https://t.me/weatherjj/1933,https://t.me/cusunews/2243,https://t.me/hk926/686,https://t.me/hk926/691,https://t.me/hk926/696,https://t.me/antiextraditionverifiednews/977,https://t.me/frontlinelive/850,https://t.me/frontlinelive/853,https://t.me/eduhknews/698,https://t.me/CivilHumanRightsFront/509,https://t.me/poly9999999/3301"
"activist_30",2019-07-28 16:00:00 HKT--2019-07-28 17:59:59 HKT,"中西區","西區警署",NA,NA,"https://t.me/bignewsmaterial/2709,https://t.me/hk926/736,https://t.me/windseasonhk/5553,https://t.me/mosdefenders/738,https://t.me/realtimenewsbroadcasts/2264,https://t.me/realtimenewsbroadcasts/2267,https://t.me/realtimenewsbroadcasts/2292,https://t.me/realtimenewsbroadcasts/2299,https://t.me/poly9999999/3425,https://t.me/cityuchannel/2530"
"activist_31",2019-07-28 16:00:00 HKT--2019-07-28 17:59:59 HKT,"中西區","遮打花園",NA,NA,"https://t.me/bignewsmaterial/2709,https://t.me/hk926/736,https://t.me/windseasonhk/5553,https://t.me/mosdefenders/738,https://t.me/realtimenewsbroadcasts/2264,https://t.me/realtimenewsbroadcasts/2267,https://t.me/realtimenewsbroadcasts/2292,https://t.me/realtimenewsbroadcasts/2299,https://t.me/poly9999999/3425,https://t.me/cityuchannel/2530"
"activist_32",2019-07-28 18:00:00 HKT--2019-07-28 19:59:59 HKT,"中西區","西港城","信德中心",NA,"https://t.me/antielabfactchecking/381,https://t.me/bignewsmaterial/2745,https://t.me/hktgb/5576,https://t.me/hktgb/5593,https://t.me/hktgb/5599,https://t.me/hktgb/5611,https://t.me/hktgb/5621,https://t.me/hktgb/5652,https://t.me/hktgb/5658,https://t.me/localpresshk/1587,https://t.me/localpresshk/1589,https://t.me/hk926/755,https://t.me/hk926/761,https://t.me/hk926/770,https://t.me/hk926/771,https://t.me/hk926/776,https://t.me/hk926/795,https://t.me/windseasonhk/5614,https://t.me/windseasonhk/5615,https://t.me/windseasonhk/5616,https://t.me/windseasonhk/5618,https://t.me/windseasonhk/5623,https://t.me/windseasonhk/5626,https://t.me/windseasonhk/5632,https://t.me/windseasonhk/5640,https://t.me/antiextraditionverifiednews/1001,https://t.me/antiextraditionverifiednews/1002,https://t.me/antiextraditionverifiednews/1004,https://t.me/antiextraditionverifiednews/1005,https://t.me/mosdefenders/819,https://t.me/mosdefenders/823,https://t.me/mosdefenders/828,https://t.me/mosdefenders/830,https://t.me/mosdefenders/833,https://t.me/mosdefenders/840,https://t.me/mosdefenders/843,https://t.me/mosdefenders/863,https://t.me/mosdefenders/868,https://t.me/mosdefenders/875,https://t.me/realtimenewsbroadcasts/2364,https://t.me/realtimenewsbroadcasts/2365,https://t.me/realtimenewsbroadcasts/2367,https://t.me/realtimenewsbroadcasts/2374,https://t.me/realtimenewsbroadcasts/2375,https://t.me/realtimenewsbroadcasts/2376,https://t.me/realtimenewsbroadcasts/2380,https://t.me/realtimenewsbroadcasts/2383,https://t.me/realtimenewsbroadcasts/2397,https://t.me/realtimenewsbroadcasts/2398,https://t.me/realtimenewsbroadcasts/2401,https://t.me/realtimenewsbroadcasts/2403,https://t.me/realtimenewsbroadcasts/2413,https://t.me/realtimenewsbroadcasts/2414,https://t.me/realtimenewsbroadcasts/2416,https://t.me/realtimenewsbroadcasts/2430,https://t.me/realtimenewsbroadcasts/2432,https://t.me/realtimenewsbroadcasts/2438,https://t.me/realtimenewsbroadcasts/2444,https://t.me/realtimenewsbroadcasts/2446,https://t.me/frontlinelive/1004,https://t.me/CivilHumanRightsFront/562,https://t.me/CivilHumanRightsFront/563,https://t.me/CivilHumanRightsFront/564,https://t.me/CivilHumanRightsFront/588,https://t.me/poly9999999/3463,https://t.me/poly9999999/3465,https://t.me/poly9999999/3519,https://t.me/youngspiration/1259,https://t.me/youngspiration/1268,https://t.me/cityuchannel/2545,https://t.me/cityuchannel/2557,https://t.me/cityuchannel/2559,https://t.me/cityuchannel/2576,https://t.me/cityuchannel/2578,https://t.me/cityuchannel/2583,https://t.me/cityuchannel/2588,https://t.me/cityuchannel/2591,https://t.me/cityuchannel/2592"
