"event_id","date","time","link","type","district","location1","location2","location3","location4","location5","location6","location7","location8","location9","location10","location11","location12","location13"
55,2019-07-09,"13:00:00","https://t.me/shojosupportchannel/57","wall","荃灣區","大窩口站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,2019-07-09,"13:00:00","https://t.me/shojosupportchannel/57","screening","葵青區","大窩口站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,2019-07-09,"13:00:00","https://t.me/shojosupportchannel/57","wall","葵青區","大窩口站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,2019-07-09,"08:30:00","https://t.me/shojosupportchannel/57","screening","九龍城區","馬頭圍邨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,2019-07-10,"19:00:00","https://t.me/antiextraditionverifiednews/793","march","中西區","愛丁堡廣場",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,2019-07-10,"19:00:00","https://t.me/antielabfactchecking/297","memorial","中西區","愛丁堡廣場",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,2019-07-11,"17:00:00","https://t.me/shojosupportchannel/69","court","觀塘區","九龍灣",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,2019-07-11,"14:00:00","https://t.me/antiextraditionverifiednews/793","march","東區","香港殯儀館",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,2019-07-11,"14:00:00","https://t.me/antielabfactchecking/297","others","東區","香港殯儀館",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,2019-07-12,"20:00:00","https://t.me/antielabfactchecking/297,https://t.me/antielabfactchecking/299,https://t.me/cityuchannel/1450","assembly","中西區","香港大學",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,2019-07-12,"11:00:00","https://t.me/antielabfactchecking/297,https://t.me/antielabfactchecking/299,https://t.me/cityuchannel/1450","assembly","中西區","政府總部","香港大學",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,2019-07-12,"10:00:00","https://t.me/antielabfactchecking/299","assembly","觀塘區","油塘邨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,2019-07-12,"20:00:00","https://t.me/antielabfactchecking/299","assembly","觀塘區","油塘站","油塘邨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,2019-07-13,"18:00:00","https://t.me/shojosupportchannel/75","screening","元朗區","洪水橋",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,2019-07-13,"15:30:00","https://t.me/antielabfactchecking/297,https://t.me/antielabfactchecking/299","assembly","北區","北區運動場",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,2019-07-13,"10:00:00","https://t.me/antielabfactchecking/299","assembly","觀塘區","油塘邨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,2019-07-13,"20:00:00","https://t.me/antielabfactchecking/299","assembly","觀塘區","油塘站","油塘邨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,2019-07-14,"14:30:00","https://t.me/antiextraditionverifiednews/793,https://t.me/antielabfactchecking/299,https://t.me/antielabfactchecking/302,https://t.me/poly9999999/2274","march","沙田區","沙田政府合署","翠田街足球場","沙田站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,2019-07-14,"20:00:00","https://t.me/antiextraditionverifiednews/793,https://t.me/antielabfactchecking/299,https://t.me/antielabfactchecking/302,https://t.me/poly9999999/2274","march","沙田區","大會堂","沙田大會堂",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,2019-07-14,"15:30:00","https://t.me/antielabfactchecking/297,https://t.me/antielabfactchecking/299,https://t.me/antielabfactchecking/302","assembly","沙田區","沙田政府合署","翠田街足球場",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,2019-07-14,"20:00:00","https://t.me/antielabfactchecking/297,https://t.me/antielabfactchecking/299,https://t.me/antielabfactchecking/302","assembly","沙田區","大會堂","沙田大會堂",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,2019-07-14,"10:30:00","https://t.me/cusunews/1292","march","中西區","政府總部","警政大樓",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,2019-07-15,"18:30:00","https://t.me/hungerstrike_hk/105,https://t.me/antielabfactchecking/302","volunteer","中西區","海富中心","金鐘站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,2019-07-16,"19:00:00","https://t.me/shojosupportchannel/84","exhibition","灣仔區","稅務大樓",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,2019-07-16,"19:00:00","https://t.me/shojosupportchannel/84","exhibition","灣仔區","銅鑼灣廣場",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,2019-07-16,"19:00:00","https://t.me/shojosupportchannel/84","exhibition","荃灣區","愉景新城",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,2019-07-16,"19:00:00","https://t.me/shojosupportchannel/84","exhibition","葵青區","青衣城",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,2019-07-16,"19:00:00","https://t.me/shojosupportchannel/84","exhibition","葵青區","石蔭邨 石蔭商場",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,2019-07-16,"19:00:00","https://t.me/shojosupportchannel/84","exhibition","葵青區","葵芳站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,2019-07-16,"19:00:00","https://t.me/shojosupportchannel/84","exhibition","元朗區","天晴邨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,2019-07-16,"19:00:00","https://t.me/shojosupportchannel/84","exhibition","九龍城區","何文田站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,2019-07-16,"19:00:00","https://t.me/shojosupportchannel/84","exhibition","黃大仙區","樂富站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,2019-07-16,"19:00:00","https://t.me/shojosupportchannel/84","exhibition","油尖旺區","柯士甸道",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,2019-07-16,"19:00:00","https://t.me/shojosupportchannel/84","exhibition","油尖旺區","豉油街",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,2019-07-16,"19:00:00","https://t.me/shojosupportchannel/84","exhibition","油尖旺區","永星里",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,2019-07-16,"19:00:00","https://t.me/shojosupportchannel/84","exhibition","東區","北角英皇道",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,2019-07-16,"19:00:00","https://t.me/shojosupportchannel/84","exhibition","西貢區","文曲里",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,2019-07-16,"19:00:00","https://t.me/shojosupportchannel/84","exhibition","觀塘區","觀塘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,2019-07-16,"19:00:00","https://t.me/shojosupportchannel/84","exhibition","觀塘區","九龍灣",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,2019-07-16,"19:00:00","https://t.me/shojosupportchannel/84","exhibition","沙田區","大圍",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,2019-07-16,"19:00:00","https://t.me/shojosupportchannel/84","exhibition","大埔區","大埔",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,2019-07-16,"19:00:00","https://t.me/shojosupportchannel/84","exhibition","離島區","東涌",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,2019-07-17,"19:00:00","https://t.me/shojosupportchannel/86,https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","screening","黃大仙區","樂富站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,2019-07-17,"08:00:00","https://t.me/shojosupportchannel/86,https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","screening","黃大仙區","樂富站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,2019-07-17,"19:00:00","https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88,https://t.me/shojosupportchannel/89","march","黃大仙區","樂富站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2019-07-17,"19:00:00","https://t.me/shojosupportchannel/86,https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","screening","北區","上水",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,2019-07-17,"08:00:00","https://t.me/shojosupportchannel/86,https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","screening","北區","粉嶺站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,2019-07-17,"08:00:00","https://t.me/shojosupportchannel/86,https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","screening","北區","上水站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,2019-07-17,"19:00:00","https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","march","北區","上水",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,2019-07-17,"08:00:00","https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","march","北區","粉嶺",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,2019-07-17,"18:06:00","https://t.me/shojosupportchannel/89","others","北區","上水站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,2019-07-17,"08:00:00","https://t.me/shojosupportchannel/86,https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","screening","灣仔區","稅務大樓",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,2019-07-17,"08:00:00","https://t.me/shojosupportchannel/86,https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","screening","灣仔區","銅鑼灣廣場",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,2019-07-17,"08:00:00","https://t.me/shojosupportchannel/86,https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","screening","荃灣區","愉景新城",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,2019-07-17,"16:00:00","https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88,https://t.me/shojosupportchannel/89","march","荃灣區","愉景新城",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,2019-07-17,"08:00:00","https://t.me/shojosupportchannel/86,https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","screening","葵青區","青衣城",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,2019-07-17,"08:00:00","https://t.me/shojosupportchannel/86,https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","screening","葵青區","石蔭邨 石蔭商場","石蔭邨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,2019-07-17,"08:00:00","https://t.me/shojosupportchannel/86,https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","screening","葵青區","葵芳站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,2019-07-17,"08:00:00","https://t.me/shojosupportchannel/86,https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","screening","葵青區","石籬二邨","石籬一邨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,2019-07-17,"08:00:00","https://t.me/shojosupportchannel/86,https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","screening","九龍城區","何文田站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,2019-07-17,"08:00:00","https://t.me/shojosupportchannel/86,https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","screening","觀塘區","啟田邨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,2019-07-17,"08:00:00","https://t.me/shojosupportchannel/86,https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","screening","油尖旺區","柯士甸道",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,2019-07-17,"08:00:00","https://t.me/shojosupportchannel/86,https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","screening","油尖旺區","豉油街",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,2019-07-17,"08:00:00","https://t.me/shojosupportchannel/86,https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","screening","油尖旺區","永星里",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,2019-07-17,"08:00:00","https://t.me/shojosupportchannel/86,https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","screening","東區","北角英皇道",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,2019-07-17,"08:00:00","https://t.me/shojosupportchannel/86,https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","screening","西貢區","尚德邨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,2019-07-17,"08:00:00","https://t.me/shojosupportchannel/86,https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","screening","沙田區","大圍",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,2019-07-17,"18:00:00","https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","march","沙田區","沙田",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,2019-07-17,"08:00:00","https://t.me/shojosupportchannel/86,https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","screening","大埔區","太湖花園",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,2019-07-17,"18:00:00","https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","march","大埔區","大埔",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,2019-07-17,"08:00:00","https://t.me/shojosupportchannel/86,https://t.me/shojosupportchannel/87,https://t.me/shojosupportchannel/88","screening","離島區","東涌",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,2019-07-17,"17:00:00","https://t.me/antielabfactchecking/299,https://t.me/antielabfactchecking/302","march","中西區","政府總部","遮打花園",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,2019-07-18,"10:00:00","https://t.me/shojosupportchannel/90,https://t.me/shojosupportchannel/91","screening","荃灣區","愉景新城",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,2019-07-18,"10:00:00","https://t.me/shojosupportchannel/90,https://t.me/shojosupportchannel/91","screening","北區","上水",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,2019-07-18,"08:00:00","https://t.me/shojosupportchannel/90,https://t.me/shojosupportchannel/91","screening","北區","粉嶺",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,2019-07-19,"20:00:00","https://t.me/shojosupportchannel/92,https://t.me/shojosupportchannel/93,https://t.me/shojosupportchannel/94","screening","灣仔區","維多利亞公園",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,2019-07-19,"21:00:00","https://t.me/shojosupportchannel/93","others","灣仔區","銅鑼灣站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,2019-07-19,"11:15:00","https://t.me/shojosupportchannel/94","others","灣仔區","銅鑼灣站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,2019-07-19,"20:00:00","https://t.me/shojosupportchannel/92,https://t.me/shojosupportchannel/93,https://t.me/shojosupportchannel/94","screening","黃大仙區","龍蟠苑","鑽石山站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,2019-07-19,"20:00:00","https://t.me/shojosupportchannel/92,https://t.me/shojosupportchannel/93,https://t.me/shojosupportchannel/94","screening","沙田區","沙田",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,2019-07-19,"20:00:00","https://t.me/shojosupportchannel/92,https://t.me/shojosupportchannel/93,https://t.me/shojosupportchannel/94","screening","北區","上水",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,2019-07-20,"18:00:00","https://t.me/shojosupportchannel/89","march","沙田區","沙田",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,2019-07-20,"18:00:00","https://t.me/shojosupportchannel/90,https://t.me/shojosupportchannel/91,https://t.me/shojosupportchannel/92,https://t.me/shojosupportchannel/93,https://t.me/shojosupportchannel/94","screening","沙田區","沙田站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,2019-07-20,"18:00:00","https://t.me/shojosupportchannel/89","march","大埔區","大埔",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,2019-07-20,"18:00:00","https://t.me/shojosupportchannel/90,https://t.me/shojosupportchannel/91,https://t.me/shojosupportchannel/92,https://t.me/shojosupportchannel/93,https://t.me/shojosupportchannel/94","screening","大埔區","太湖花園",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
